x,y,z
135.22792456181594,436.08945277087196,a
81.85977244416227,401.2530043483634,a
103.00308982130908,342.20984380000925,a
104.33698341148383,410.29919630563484,a
93.54446522062584,383.7075076919147,a
70.64730543285383,402.1346703880895,a
64.4072499652471,335.55988011977,a
64.86886553164788,363.1444304379896,a
206.16825419738652,386.72355831683006,a
223.20545905742893,413.52720497391374,a
307.03270744728957,472.79344907119633,a
276.2827033447307,459.74670141043157,a
307.9191820857144,465.2517178211525,a
267.2262941925539,498.3980187191089,a
262.97877036375286,504.33782698162776,a
282.426361071374,452.10904321379957,a
238.2034517125836,424.3513116174703,a
204.81349952979735,399.6884389512222,a
112.91721013449427,412.45959410638926,a
155.2824516086697,370.50743337525097,a
157.73916776889328,367.5908698307236,a
228.6605612939653,399.51591574455364,a
252.99063524798666,353.7533833628913,a
311.23262166753483,389.1560351621365,a
298.72207086510997,409.5243767892959,a
252.73206146136326,391.39963500620524,a
232.42525216790372,371.70489164442864,a
237.681347233263,350.75416983246174,a
112.38428855787873,329.1950447850926,a
105.74414807633137,320.49712646144144,a
134.2343074970372,322.07168499847796,a
105.90769619121815,355.0222136325599,a
150.906811856578,291.7373156724292,a
197.24960875512593,361.51017550785593,a
233.41046530769466,430.6556868188168,a
268.23411520436446,430.54708180384876,a
204.1581804419024,374.30357069918097,a
241.61032477535497,360.3437461467095,a
233.33330147821417,363.1489839164776,a
222.18406526184845,346.015329409097,a
178.24414795441905,359.7028734362084,a
178.098993856566,371.230062717559,a
138.792544410004,361.5437898599385,a
146.5751141027206,372.4587377552635,a
156.43774464107088,381.3051866621258,a
164.94314559519438,362.6834840000485,a
505.66061193281314,83.91941403489727,b
548.5712737869995,142.3690942150223,b
526.3403435615816,148.36951459343055,b
510.286270656978,132.01256009761806,b
540.3905145538804,107.14997883365226,b
546.5316918026031,175.45113596181318,b
543.1498691266379,181.99206172745755,b
588.5724503638721,131.12924588486175,b
518.2771950745406,143.9969337719832,b
543.811272762668,179.18693664976456,b
533.667495056547,189.1268404212467,b
581.8936400990215,125.68784796908227,b
526.8718762812346,174.8681274725925,b
566.5020667720349,198.09135804107774,b
577.2226381334025,175.35432031922966,b
615.6096116942265,206.25590050059776,b
610.2543187490588,188.2539742635405,b
